sample_id,collection_date,lineage
SRR26500334,2023-09-01,GK.4
SRR26500335,2023-09-01,GJ.1.2
SRR26500336,2023-09-01,FL.1.5.1
SRR26500337,2023-09-01,FU.2
SRR26500338,2023-09-01,HW.1.1
SRR26500339,2023-09-02,JF.1
SRR26500340,2023-09-01,HW.1.1
SRR26500341,2023-09-02,FU.1
SRR26500342,2023-09-01,XBB.1.16
SRR26500343,2023-09-01,XBB.1.16
SRR26500344,2023-09-01,XBB.1.16.6
SRR26500345,2023-09-03,GS.1
SRR26500346,2023-09-03,EG.5.1.14
SRR26500347,2023-09-03,EG.5.1.4
SRR26500348,2023-09-02,XBB.1.5.10
SRR26500349,2023-09-03,FT.3.1.1
SRR26500350,2023-09-03,HZ.1
SRR26500351,2023-09-03,XBB.1.16
SRR26500352,2023-09-03,EG.5.1.14
SRR26500353,2023-09-03,JF.1.1
SRR26500354,2023-09-04,GJ.1.2
SRR26500355,2023-09-02,HK.11
SRR26500356,2023-09-02,XBB.1.16.6
SRR26500357,2023-09-03,EG.5.1.6
SRR26500358,2023-09-03,GJ.1.2
SRR26500359,2023-09-04,GK.2
SRR26500361,2023-09-04,XBB.1.5.49
SRR26500390,2023-09-04,FY.2
SRR26500445,2023-09-01,FU.1
SRR26500447,2023-09-01,EG.5.1
SRR26500448,2023-09-01,EG.10.1.1
SRR26500449,2023-09-02,GK.3.1
SRR26500451,2023-09-01,FL.16
SRR26500452,2023-09-02,EG.6.1
SRR26500453,2023-09-03,GK.4
SRR26500454,2023-09-03,GK.3.1
SRR26500455,2023-09-02,GV.1
SRR26500512,2023-09-01,FU.2
SRR26500513,2023-09-06,EG.5.1.1
SRR26500514,2023-09-01,EG.5.1.1
SRR26500515,2023-09-01,GV.1
SRR26500516,2023-09-02,EG.5.1.1
SRR26500517,2023-09-01,GK.4
SRR26500518,2023-09-01,XBB.1.16.15
SRR26500519,2023-09-02,FL.10.1
SRR26500520,2023-09-01,GJ.1.2
SRR26500521,2023-09-01,GE.1
SRR26500522,2023-09-01,GK.3.1
SRR26500523,2023-09-01,XBB.1.42.2
SRR26500524,2023-09-01,XBB.1.16.9
SRR26500525,2023-09-02,EG.6.1
SRR26500526,2023-09-02,XBB.1.5.49
SRR26500527,2023-09-02,FL.2.5
SRR26500528,2023-09-07,EG.6.1
SRR26500529,2023-09-02,XBB.1.16.1
SRR26500530,2023-09-02,XBB.1.5.24
SRR26500531,2023-09-03,GJ.1.2
SRR26500532,2023-09-03,GJ.1.2
SRR26500533,2023-09-03,HK.29
SRR26500534,2023-09-02,XBB.1.16
SRR26500535,2023-09-01,XBB.1.16.30
SRR26500536,2023-09-02,XBB.1.16.1
SRR26500537,2023-09-01,EG.5.1.4
SRR26500538,2023-09-07,EG.5.1.1
SRR26500539,2023-09-01,XBB.1.16.1
SRR26682142,2023-09-15,EG.5.1.4
SRR26682143,2023-09-17,GJ.1.2.5
SRR26682144,2023-09-18,HV.1
SRR26682145,2023-09-17,HS.1
SRR26682146,2023-09-18,EG.5.1.1
SRR26682147,2023-09-18,FD.1.1
SRR26682148,2023-09-18,FD.1.1
SRR26682149,2023-09-18,EG.5.1.14
SRR26682150,2023-09-18,HK.29
SRR26682151,2023-09-18,FD.1.1
SRR26682152,2023-09-15,FL.1.5.1
SRR26682153,2023-09-15,XCM
SRR26682154,2023-09-17,XCM
SRR26682155,2023-09-16,EG.5.1.13
SRR26682156,2023-09-15,XBB.1.16.1
SRR26682157,2023-09-15,HK.29
SRR26682158,2023-09-17,FL.1.5.1
SRR26682159,2023-09-17,EG.5.1.4
SRR26682160,2023-09-17,XBB.1.16
SRR26682161,2023-09-17,EG.5.1.4
SRR26682162,2023-09-18,HV.1
SRR26682163,2023-09-18,GE.1
SRR26682164,2023-09-15,EG.5.1.4
SRR26682165,2023-09-16,HZ.1
SRR26682166,2023-09-16,FL.2.5
SRR26682167,2023-09-19,EG.5.1.1
SRR26682168,2023-09-15,HV.1
SRR26682169,2023-09-19,FL.1.5.1
SRR26682170,2023-09-11,EG.5.1.16
SRR26682171,2023-09-11,EG.6.1
SRR26682172,2023-09-11,EG.5.1.3
SRR26682173,2023-09-11,XBB.2.3.17
SRR26682174,2023-09-11,HZ.1
SRR26682175,2023-09-12,HV.1
SRR26682176,2023-09-10,XBB.1.16.23
SRR26682177,2023-09-10,HK.11
SRR26682178,2023-09-11,XBB.1.16.6
SRR26682179,2023-09-10,HV.1
SRR26682180,2023-09-10,EG.5.1.6
SRR26682181,2023-09-08,FL.24
SRR26682182,2023-09-09,HZ.1
SRR26682183,2023-09-09,EG.5.1.4
SRR26682184,2023-09-08,EG.5.1.16
SRR26682185,2023-09-09,FL.1.5.1
SRR26682186,2023-09-08,EG.5.1.4
SRR26682187,2023-09-09,HZ.1
SRR26682189,2023-09-09,XBB.1.5
SRR26682190,2023-09-09,HK.27.1
SRR26682191,2023-09-10,EG.5.1.1
SRR26682192,2023-09-09,HN.3.1
SRR26682193,2023-09-10,EG.5.1.16
SRR26682194,2023-09-10,EG.5.1.4
SRR26682195,2023-09-10,HK.29
SRR26682196,2023-09-09,FL.1.5.1
SRR26682197,2023-09-08,GJ.1.2
SRR26682374,2023-09-19,HK.3
SRR26682375,2023-09-19,EG.5.1.4
SRR26682376,2023-09-18,EG.5.1
SRR26682377,2023-09-19,XBB.2.3.17
SRR26682378,2023-09-18,GK.1.1
SRR26682379,2023-09-18,XCH
SRR26682380,2023-09-18,EG.5.1.16
SRR26682381,2023-09-19,HV.1
SRR26682382,2023-09-18,HV.1
SRR26682383,2023-09-16,EG.5.1.1
SRR26682384,2023-09-17,FU.2
SRR26682385,2023-09-15,XBB.1.5.26
SRR26682386,2023-09-17,EG.5.1.4
SRR26682387,2023-09-17,HV.1
SRR26682388,2023-09-17,KB.4
SRR26682389,2023-09-17,FL.1.5.1
SRR26682390,2023-09-15,GK.4
SRR26682391,2023-09-16,HY.1
SRR26682392,2023-09-17,EG.10.1
SRR26682393,2023-09-17,XBB.1.16
SRR26682394,2023-09-17,JN.2
SRR26682395,2023-09-17,EG.5.1.16
SRR26682396,2023-09-16,EG.6.1
SRR26682397,2023-09-18,GK.1.10
SRR26682398,2023-09-16,EG.5.1.14
SRR26682399,2023-09-16,FL.1.5.1
SRR26682400,2023-09-18,XBB.1.16.11
SRR26682401,2023-09-19,HN.6
SRR26682402,2023-09-08,XBB.1.16.14
SRR26682403,2023-09-08,HY.1
SRR26682404,2023-09-08,XBB.1.16.11
SRR26682405,2023-09-09,EG.5.1.1
SRR26682406,2023-09-10,XBB.2.3.17
SRR26682407,2023-09-08,FL.10.1
SRR26682408,2023-09-08,EG.1
SRR26682409,2023-09-08,FL.10.1
SRR26682410,2023-09-08,EG.5.1.16
SRR26682411,2023-09-09,EG.5.1.1
SRR26682412,2023-09-08,FL.2.5
SRR26682413,2023-09-08,HZ.1
SRR26682414,2023-09-10,FL.2.5
SRR26682415,2023-09-10,HF.1
SRR26682416,2023-09-08,HC.2
SRR26682417,2023-09-08,EG.5.1.1
SRR26682418,2023-09-12,XBB.1.16
SRR26682419,2023-09-12,HT.1
SRR26682420,2023-09-05,GJ.1.2
SRR26682421,2023-09-06,FL.1.5.1
SRR26682422,2023-09-05,EG.5.1.4
SRR26682423,2023-09-06,EG.5.1.13
SRR26682424,2023-09-05,HV.1
SRR26682425,2023-09-05,EG.5.1.16
SRR26682426,2023-09-05,XBB.1.42.2
SRR26682427,2023-09-04,XBB.1.16.11
SRR26682428,2023-09-06,GK.4
SRR26682429,2023-09-06,XBB.1.16.15
SRR26682430,2023-09-05,FL.1.5.1
SRR26682431,2023-09-05,EG.5.1.1
SRR26682432,2023-09-05,FL.10.1
SRR26682433,2023-09-05,FL.2.5
SRR26682434,2023-09-05,XBB.1.16.16
SRR26682435,2023-09-05,FL.4.8
SRR26682436,2023-09-06,HH.7
SRR26682437,2023-09-05,XBB.1.5.24
SRR26682438,2023-09-05,HZ.1
SRR26682439,2023-09-05,XBB.1.16.15
SRR26682440,2023-09-05,EG.5.1.4
SRR26682441,2023-09-05,XBB.1.16.11
SRR26682442,2023-09-05,XBB.1.41.2
SRR26682443,2023-09-05,XBB.1.16.6
SRR26682444,2023-09-06,EG.5.1.3
SRR26682445,2023-09-06,EG.5.1.4
SRR26682446,2023-09-06,GY.6
SRR26682447,2023-09-06,HY.1
SRR26682448,2023-09-07,HV.1
SRR26682449,2023-09-06,FL.1.5.1
SRR26682450,2023-09-06,HK.28
SRR26682451,2023-09-06,JC.1
SRR26682452,2023-09-06,EG.5.1.13
SRR26682453,2023-09-07,FL.1.5.1
SRR26682454,2023-09-06,FL.1.5.1
SRR26682455,2023-09-07,EG.5.1.4
SRR26682456,2023-09-07,EG.5.1.13
SRR26682457,2023-09-07,GK.4
SRR26682570,2023-09-16,HF.1
SRR26682571,2023-09-16,XCM
SRR26682572,2023-09-04,EG.5.1.1
SRR26682598,2023-09-05,EG.7
SRR26682599,2023-09-06,HW.1.1
SRR26682600,2023-09-06,XBB.1.16.6
SRR26682601,2023-09-05,FL.1.5.1
SRR26682602,2023-09-05,GY.6
SRR26682603,2023-09-04,FL.10.1
SRR26682604,2023-09-04,HK.31
SRR26682605,2023-09-04,XBB.1.16.11
SRR26682606,2023-09-04,XBB.1.5.35
SRR26682607,2023-09-04,XBB.1.16
SRR26682608,2023-09-04,HF.1
SRR26682610,2023-09-04,HZ.1
SRR26682611,2023-09-04,FL.10.1
SRR26682612,2023-09-04,EG.1.6
SRR26682613,2023-09-04,EG.5.1.1
SRR26682614,2023-09-04,EG.5.1.4
SRR26682615,2023-09-07,EG.5.1.4
SRR26682616,2023-09-04,HY.1
SRR26682617,2023-09-05,XBB.1.16.6
SRR26682618,2023-09-04,EG.5.1.1
SRR26682619,2023-09-04,EG.7
SRR26682620,2023-09-04,FL.4
SRR26682621,2023-09-05,GJ.1.2
SRR26682622,2023-09-04,HZ.1
SRR26682623,2023-09-07,XBB.1.16.6
SRR26682624,2023-09-04,XBB.1.16.9
SRR26682625,2023-09-05,FL.2
SRR26682626,2023-09-07,XBB.2.3.15
SRR26682627,2023-09-06,FU.2
SRR26682628,2023-09-07,EG.5.1.14
SRR26682629,2023-09-07,EG.5.1.16
SRR26682630,2023-09-07,XBB.1.5
SRR26682631,2023-09-07,EG.5.1.4
SRR26682632,2023-09-04,EG.5.1
SRR26682633,2023-09-07,FY.2
SRR26682634,2023-09-07,XBB.1.5.70
SRR26682635,2023-09-07,HK.28
SRR26682636,2023-09-07,XBB.2.3.17
SRR26682639,2023-09-18,HZ.1
SRR26682640,2023-09-18,EG.5.1.4
SRR26682641,2023-09-19,FL.1.5.1
SRR26682642,2023-09-18,HV.1
SRR26682643,2023-09-15,XBB.1.16.6
SRR26682644,2023-09-15,XBB.1.16.6
SRR26682649,2023-09-08,XBB.1.16.6
SRR26682650,2023-09-08,GK.4
SRR26682651,2023-09-09,XBB.1.22
SRR26682652,2023-09-08,EG.6.1
SRR26682653,2023-09-08,EG.5.1.1
SRR26682654,2023-09-08,FL.1.5.1
SRR26682655,2023-09-10,GJ.1.2
SRR26682656,2023-09-11,XBB.1.16.23
SRR26682657,2023-09-11,XBB.1.42.2
SRR26682658,2023-09-10,XBB.1.5.24
SRR26682659,2023-09-11,EG.5.1.6
SRR26682661,2023-09-08,EG.5.1.4
SRR26682662,2023-09-11,FE.1.2
SRR26682663,2023-09-08,FU.2
SRR26682664,2023-09-08,FL.2.5
SRR26682665,2023-09-09,HK.31
SRR26682666,2023-09-09,EG.5.1.1
SRR26682667,2023-09-11,XBB.1.16.23
SRR26682668,2023-09-11,EG.5.1.13
SRR26682669,2023-09-12,HR.1
SRR26682670,2023-09-11,XBB.1.16.6
SRR26682671,2023-09-11,EG.5.1.1
SRR26682672,2023-09-11,XBB.1.16
SRR27018397,2023-09-22,EG.5.1.1
SRR27018398,2023-09-19,XBB.1.16.6
SRR27018399,2023-09-23,EG.5.1.16
SRR27018400,2023-09-19,XBB.1.16.6
SRR27018401,2023-09-18,XBB.1.5.10
SRR27018402,2023-09-19,XBB.1.5.105
SRR27018403,2023-09-10,GJ.1.2
