sample_id,collection_date,location
10.04.23.ENCOCT02.R2__NA__NA__231006_WW__00X,2023-10-02,Encina
10.04.23.ENCSEP27.R2__NA__NA__231006_WW__00X,2023-09-27,Encina
10.04.23.PLOCT01.R1__NA__NA__231006_WW__00X,2023-10-01,Point Loma
10.04.23.PLOCT02.R1__NA__NA__231006_WW__00X,2023-10-02,Point Loma
10.04.23.SBOCT01.R1__NA__NA__231006_WW__00X,2023-10-01,South Bay
10.04.23.SBSEP28.R2__NA__NA__231006_WW__00X,2023-09-28,South Bay
10.06.23.PLOCT03.R2__NA__NA__231006_WW__00X,2023-10-03,Point Loma
10.06.23.PLOCT04.R1__NA__NA__231006_WW__00X,2023-10-04,Point Loma
10.11.23.ENCOCT05.R2.rerun__NA__NA__231023_WW__00X,2023-10-05,Encina
10.11.23.ENCOCT09.R2.rerun__NA__NA__231023_WW__00X,2023-10-09,Encina
10.11.23.PLOCT08.R1.rerun__NA__NA__231023_WW__00X,2023-10-08,Point Loma
10.11.23.PLOCT09.R2.rerun__NA__NA__231023_WW__00X,2023-10-09,Point Loma
10.11.23.SBOCT05.R1.rerun__NA__NA__231023_WW__00X,2023-10-05,South Bay
10.11.23.SBOCT08.R1.rerun__NA__NA__231023_WW__00X,2023-10-08,South Bay
10.13.23.PLOCT10.R2.rerun__NA__NA__231023_WW__00X,2023-10-10,Point Loma
10.13.23.PLOCT11.R2.rerun__NA__NA__231023_WW__00X,2023-10-11,Point Loma
10.18.23.ENCOCT13.R2__NA__NA__231027_WW__00X,2023-10-13,Encina
10.18.23.ENCOCT16.R1__NA__NA__231027_WW__00X,2023-10-16,Encina
10.18.23.PLOCT15.R2__NA__NA__231027_WW__00X,2023-10-15,Point Loma
10.18.23.PLOCT16.R2__NA__NA__231027_WW__00X,2023-10-16,Point Loma
10.18.23.SBOCT15.R1__NA__NA__231027_WW__00X,2023-10-15,South Bay
10.18.23.SBOCT17.R1__NA__NA__231027_WW__00X,2023-10-17,South Bay
10.20.23.PLOCT17.R2__NA__NA__231027_WW__00X,2023-10-17,Point Loma
10.20.23.PLOCT18.R2__NA__NA__231027_WW__00X,2023-10-18,Point Loma
10.25.23.ENCOCT19.R2__NA__NA__231027_WW__00X,2023-10-19,Encina
10.25.23.ENCOCT20.R2__NA__NA__231027_WW__00X,2023-10-20,Encina
10.25.23.PLOCT22.R2__NA__NA__231027_WW__00X,2023-10-22,Point Loma
10.25.23.PLOCT23.R2__NA__NA__231027_WW__00X,2023-10-23,Point Loma
10.25.23.SBOCT19.R1__NA__NA__231027_WW__00X,2023-10-19,South Bay
10.25.23.SBOCT24.R1__NA__NA__231027_WW__00X,2023-10-24,South Bay
10.27.23.PLOCT24.R2__NA__NA__231027_WW__00X,2023-10-24,Point Loma
10.27.23.PLOCT25.R1__NA__NA__231027_WW__00X,2023-10-25,Point Loma
11.01.23.ENCOCT26.R2__NA__NA__231109_WW__00X,2023-10-26,Encina
11.01.23.ENCOCT27.R1__NA__NA__231109_WW__00X,2023-10-27,Encina
11.01.23.PLOCT29.R2__NA__NA__231109_WW__00X,2023-10-29,Point Loma
11.01.23.PLOCT30.R1__NA__NA__231109_WW__00X,2023-10-30,Point Loma
11.01.23.SBOCT26.R1__NA__NA__231109_WW__00X,2023-10-26,South Bay
11.01.23.SBOCT31.R2__NA__NA__231109_WW__00X,2023-10-31,South Bay
11.03.23.PLOCT31.R1__NA__NA__231109_WW__00X,2023-10-31,Point Loma
9.06.23.ENCSEP05.R1__NA__NA__230911_WW__00X,2023-09-05,Encina
9.06.23.PLSEP03.R2__NA__NA__230911_WW__00X,2023-09-03,Point Loma
