Sample,sample_collection_datetime
10.04.23.ENCOCT02.R2__NA__NA__231006_WW__00X.variants.tsv,2023-10-02
10.04.23.ENCSEP27.R2__NA__NA__231006_WW__00X.variants.tsv,2023-09-27
10.04.23.PLOCT01.R1__NA__NA__231006_WW__00X.variants.tsv,2023-10-01
10.04.23.PLOCT02.R1__NA__NA__231006_WW__00X.variants.tsv,2023-10-02
10.04.23.SBOCT01.R1__NA__NA__231006_WW__00X.variants.tsv,2023-10-01
10.04.23.SBSEP28.R2__NA__NA__231006_WW__00X.variants.tsv,2023-09-28
10.06.23.PLOCT03.R2__NA__NA__231006_WW__00X.variants.tsv,2023-10-03
10.06.23.PLOCT04.R1__NA__NA__231006_WW__00X.variants.tsv,2023-10-04
10.11.23.ENCOCT05.R2.rerun__NA__NA__231023_WW__00X.variants.tsv,2023-10-05
10.11.23.ENCOCT09.R2.rerun__NA__NA__231023_WW__00X.variants.tsv,2023-10-09
10.11.23.PLOCT08.R1.rerun__NA__NA__231023_WW__00X.variants.tsv,2023-10-08
10.11.23.PLOCT09.R2.rerun__NA__NA__231023_WW__00X.variants.tsv,2023-10-09
10.11.23.SBOCT05.R1.rerun__NA__NA__231023_WW__00X.variants.tsv,2023-10-05
10.11.23.SBOCT08.R1.rerun__NA__NA__231023_WW__00X.variants.tsv,2023-10-08
10.13.23.PLOCT10.R2.rerun__NA__NA__231023_WW__00X.variants.tsv,2023-10-10
10.13.23.PLOCT11.R2.rerun__NA__NA__231023_WW__00X.variants.tsv,2023-10-11
10.18.23.ENCOCT13.R2__NA__NA__231027_WW__00X.variants.tsv,2023-10-13
10.18.23.ENCOCT16.R1__NA__NA__231027_WW__00X.variants.tsv,2023-10-16
10.18.23.PLOCT15.R2__NA__NA__231027_WW__00X.variants.tsv,2023-10-15
10.18.23.PLOCT16.R2__NA__NA__231027_WW__00X.variants.tsv,2023-10-16
10.18.23.SBOCT15.R1__NA__NA__231027_WW__00X.variants.tsv,2023-10-15
10.18.23.SBOCT17.R1__NA__NA__231027_WW__00X.variants.tsv,2023-10-17
10.20.23.PLOCT17.R2__NA__NA__231027_WW__00X.variants.tsv,2023-10-17
10.20.23.PLOCT18.R2__NA__NA__231027_WW__00X.variants.tsv,2023-10-18
10.25.23.ENCOCT19.R2__NA__NA__231027_WW__00X.variants.tsv,2023-10-19
10.25.23.ENCOCT20.R2__NA__NA__231027_WW__00X.variants.tsv,2023-10-20
10.25.23.PLOCT22.R2__NA__NA__231027_WW__00X.variants.tsv,2023-10-22
10.25.23.PLOCT23.R2__NA__NA__231027_WW__00X.variants.tsv,2023-10-23
10.25.23.SBOCT19.R1__NA__NA__231027_WW__00X.variants.tsv,2023-10-19
10.25.23.SBOCT24.R1__NA__NA__231027_WW__00X.variants.tsv,2023-10-24
10.27.23.PLOCT24.R2__NA__NA__231027_WW__00X.variants.tsv,2023-10-24
10.27.23.PLOCT25.R1__NA__NA__231027_WW__00X.variants.tsv,2023-10-25
11.01.23.ENCOCT26.R2__NA__NA__231109_WW__00X.variants.tsv,2023-10-26
11.01.23.ENCOCT27.R1__NA__NA__231109_WW__00X.variants.tsv,2023-10-27
11.01.23.PLOCT29.R2__NA__NA__231109_WW__00X.variants.tsv,2023-10-29
11.01.23.PLOCT30.R1__NA__NA__231109_WW__00X.variants.tsv,2023-10-30
11.01.23.SBOCT26.R1__NA__NA__231109_WW__00X.variants.tsv,2023-10-26
11.01.23.SBOCT31.R2__NA__NA__231109_WW__00X.variants.tsv,2023-10-31
11.03.23.PLOCT31.R1__NA__NA__231109_WW__00X.variants.tsv,2023-10-31
9.06.23.ENCSEP05.R1__NA__NA__230911_WW__00X.variants.tsv,2023-09-05
9.06.23.PLSEP03.R2__NA__NA__230911_WW__00X.variants.tsv,2023-09-03
9.06.23.PLSEP04.R2__NA__NA__230911_WW__00X.variants.tsv,2023-09-04
9.06.23.SBSEP03.R2__NA__NA__230911_WW__00X.variants.tsv,2023-09-03
9.06.23.SBSEP05.R2__NA__NA__230911_WW__00X.variants.tsv,2023-09-05
9.08.23.PLSEP05.R2__NA__NA__230911_WW__00X.variants.tsv,2023-09-05
9.08.23.PLSEP06.R1__NA__NA__230911_WW__00X.variants.tsv,2023-09-06
9.13.23.ENCSEP06.R2__NA__NA__230922_WW__00X.variants.tsv,2023-09-06
9.13.23.ENCSEP12.R1__NA__NA__230922_WW__00X.variants.tsv,2023-09-12
9.13.23.PLSEP10.R1__NA__NA__230922_WW__00X.variants.tsv,2023-09-10
9.13.23.PLSEP11.R2__NA__NA__230922_WW__00X.variants.tsv,2023-09-11
9.13.23.SBSEP07.R1__NA__NA__230922_WW__00X.variants.tsv,2023-09-07
9.13.23.SBSEP12.R2__NA__NA__230922_WW__00X.variants.tsv,2023-09-12
9.15.23.PLSEP12.R1__NA__NA__230922_WW__00X.variants.tsv,2023-09-12
9.15.23.PLSEP13.R2__NA__NA__230922_WW__00X.variants.tsv,2023-09-13
9.20.23.ENCSEP15.R1__NA__NA__230929_WW__00X.variants.tsv,2023-09-15
9.20.23.ENCSEP19.R1__NA__NA__230929_WW__00X.variants.tsv,2023-09-19
9.20.23.PLSEP17.R1__NA__NA__230929_WW__00X.variants.tsv,2023-09-17
9.20.23.PLSEP18.R1__NA__NA__230929_WW__00X.variants.tsv,2023-09-18
9.20.23.SBSEP14.R1__NA__NA__230929_WW__00X.variants.tsv,2023-09-14
9.20.23.SBSEP19.R2__NA__NA__230929_WW__00X.variants.tsv,2023-09-19
9.22.23.PLSEP19.R1__NA__NA__230929_WW__00X.variants.tsv,2023-09-19
9.22.23.PLSEP20.R1__NA__NA__230929_WW__00X.variants.tsv,2023-09-20
9.27.23.ENCSEP21.R2__NA__NA__230929_WW__00X.variants.tsv,2023-09-21
9.27.23.ENCSEP25.R2__NA__NA__230929_WW__00X.variants.tsv,2023-09-25
9.27.23.PLSEP24.R2__NA__NA__230929_WW__00X.variants.tsv,2023-09-24
9.27.23.PLSEP25.R1__NA__NA__230929_WW__00X.variants.tsv,2023-09-25
9.27.23.SBSEP21.R2__NA__NA__230929_WW__00X.variants.tsv,2023-09-21
9.27.23.SBSEP24.R2__NA__NA__230929_WW__00X.variants.tsv,2023-09-24
9.29.23.PLSEP26.R1__NA__NA__230929_WW__00X.variants.tsv,2023-09-26
9.29.23.PLSEP27.R1__NA__NA__230929_WW__00X.variants.tsv,2023-09-27
